,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
81,7th Phase JP Nagar,51.4619523,-0.15961689999999998,KFC,51.463878524472655,-0.16614126077025035,Fast Food Restaurant
82,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Domino's Pizza,51.46098700426616,-0.16517023424830768,Pizza Place
83,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Caffè Nero,51.46098143664973,-0.16340411765139737,Coffee Shop
84,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The Sugar Cane,51.464331628970235,-0.16314813969347508,Bar
85,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Bus stop,51.464805258376906,-0.15946470275726835,Bus Stop
86,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Scratch Bar,51.46476823412162,-0.1604222515673366,Bar
87,7th Phase JP Nagar,51.4619523,-0.15961689999999998,PizzaExpress,51.46410299335836,-0.165579793654274,Pizza Place
88,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Tipthorpe Road Bus Stop,51.46534899188282,-0.15641977192255918,Bus Stop
89,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Big Fat Panda,51.46406135523888,-0.16523420365737124,Chinese Restaurant
90,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Pizza Da Vinci,51.465476248551866,-0.1563348917843545,Pizza Place
91,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Burger Craft @ The Crown,51.465660095214844,-0.1560230851173401,Burger Joint
92,Sarjapur,12.9778951,77.5164792,Convergytics Solutions Pvt. Ltd.,12.97839084369947,77.5151538848877,IT Services
93,Sarjapur,12.9778951,77.5164792,Durga Sri Grand,12.978024260819527,77.51487764416152,Breakfast Spot
94,Sarjapur,12.9778951,77.5164792,Sangam Sweets,12.97730236874006,77.51717350426884,Fast Food Restaurant
95,Sarjapur,12.9778951,77.5164792,Karavali Lunch Home,12.979918,77.51545,Seafood Restaurant
96,Mysore Road,12.9176571,77.4837568,Domino's Pizza,12.919772148132324,77.48355102539062,Pizza Place
97,Mysore Road,12.9176571,77.4837568,Cafe Coffee Day,12.915288335289906,77.48176574707031,Café
98,Mysore Road,12.9176571,77.4837568,Kengeri Railway Station,12.917703263428418,77.48394622604503,Train Station
99,Mysore Road,12.9176571,77.4837568,HDFC Bank,12.919352,77.483162,ATM
100,Mysore Road,12.9176571,77.4837568,Fabricspa,12.916788,77.481724,Dry Cleaner
101,Mysore Road,12.9176571,77.4837568,Sathkar Juice And Ice Creams,12.921960076049288,77.48485565185547,Ice Cream Shop
102,Bisuvanahalli,13.054713,77.63392579999999,United Pharma,13.056347948465097,77.63263451850116,Pharmacy
103,Bisuvanahalli,13.054713,77.63392579999999,A.S Biryani & Kabab Fast Food!,13.056660652160645,77.63050842285156,Karnataka Restaurant
104,Bisuvanahalli,13.054713,77.63392579999999,Hotel Karavali,13.056552,77.630332,Hotel
105,Bisuvanahalli,13.054713,77.63392579999999,Shell,13.05163582,77.63068788,Gas Station
106,Ramakrishnappa Layout,13.054713,77.63392579999999,United Pharma,13.056347948465097,77.63263451850116,Pharmacy
107,Ramakrishnappa Layout,13.054713,77.63392579999999,A.S Biryani & Kabab Fast Food!,13.056660652160645,77.63050842285156,Karnataka Restaurant
108,Ramakrishnappa Layout,13.054713,77.63392579999999,Hotel Karavali,13.056552,77.630332,Hotel
109,Ramakrishnappa Layout,13.054713,77.63392579999999,Shell,13.05163582,77.63068788,Gas Station
110,Thanisandra,13.100698199999998,77.5963454,Anup Caterers,13.100838171158413,77.59630680084229,Restaurant
111,Thanisandra,13.100698199999998,77.5963454,sri manjunatha tiffen,13.098979949951172,77.597412109375,Vegetarian / Vegan Restaurant
112,Thanisandra,13.100698199999998,77.5963454,Yelahanka Railway Station,13.102922495184911,77.59239605392054,Train Station
113, Thanisandra,13.0044979,77.66032309999999,Corner House,13.00195075807234,77.66144352291998,Ice Cream Shop
114, Thanisandra,13.0044979,77.66032309999999,Calcutta Victoria Chat House,13.001055768490215,77.66189828794946,Indian Restaurant
115, Thanisandra,13.0044979,77.66032309999999,Cuppa,13.003605371833544,77.66274876703207,Café
116, Thanisandra,13.0044979,77.66032309999999,Wangs Kitchen,13.005569727266023,77.65964976817628,Chinese Restaurant
117, Thanisandra,13.0044979,77.66032309999999,"Nilgiri's, Kasturinagar Rd.",13.005419203100592,77.65931258373237,Convenience Store
118, Thanisandra,13.0044979,77.66032309999999,French Loaf,13.005489861639317,77.65962739799085,Bakery
119, Thanisandra,13.0044979,77.66032309999999,Spencers Supermarket Kasturinagar,13.002409507949965,77.66155958175659,Department Store
120, Thanisandra,13.0044979,77.66032309999999,Kimling,13.00233223265029,77.66150088554262,Chinese Restaurant
121, Thanisandra,13.0044979,77.66032309999999,beijing bites,13.001929184819929,77.66149529308909,Chinese Restaurant
122, Thanisandra,13.0044979,77.66032309999999,Cafe Coffee Day,13.00802960556899,77.65864277641919,Café
123, Thanisandra,13.0044979,77.66032309999999,Fusion Wines,13.00199125643741,77.66180847005657,Liquor Store
124, Thanisandra,13.0044979,77.66032309999999,Kanti Sweets,13.001841700994927,77.66150647799587,Dessert Shop
125, Thanisandra,13.0044979,77.66032309999999,Kasturi Nagar Bus Stop,13.00355836017815,77.66324012504171,Bus Station
126, Thanisandra,13.0044979,77.66032309999999,The Pizzeria,13.001088609752703,77.6611485604251,Pizza Place
127, Thanisandra,13.0044979,77.66032309999999,7 days,13.008734412482559,77.65925828928616,Convenience Store
128,Electronic City,12.8496783,77.6649749,Golconda - Infosys Campus,12.847172335196069,77.66337797676378,Food Court
129,Electronic City,12.8496783,77.6649749,Subway,12.850238531339548,77.66741816621224,Sandwich Place
130,Electronic City,12.8496783,77.6649749,Baskin-Robbins,12.849758693497442,77.66355888948081,Ice Cream Shop
131,Electronic City,12.8496783,77.6649749,Lotus ( Kamath ),12.848259110619978,77.6668545086499,Food Court
132,Electronic City,12.8496783,77.6649749,Cafe Coffee Day,12.850039199159092,77.6624236365504,Coffee Shop
133,Electronic City,12.8496783,77.6649749,Cafe Coffee Day,12.850023102005963,77.66668600836391,Coffee Shop
134,Electronic City,12.8496783,77.6649749,Shaan-e-Punjab,12.850393884528568,77.66742954757105,Indian Restaurant
135,Electronic City,12.8496783,77.6649749,"La terrace, Infosys",12.850450605618043,77.66532046606967,Indian Restaurant
136,Electronic City,12.8496783,77.6649749,Marmaris The Real Fast,12.84982337869137,77.66386087600715,Bakery
137,Electronic City,12.8496783,77.6649749,Rajdhani,12.849850682780163,77.66711556798447,Food
138,Electronic City,12.8496783,77.6649749,Lotus Eaterz,12.848555165087763,77.6668862886581,Snack Place
139,Electronic City,12.8496783,77.6649749,"Chocolate Bakery, Infosys",12.849374026971537,77.66721622705258,Bakery
140,Ramagondanahalli,12.9121916,77.5476337,Kanti Sweets,12.911081427702225,77.55168981800485,Bakery
141,Ramagondanahalli,12.9121916,77.5476337,Domino's Pizza,12.91090105570454,77.55144764757166,Pizza Place
142,Ramagondanahalli,12.9121916,77.5476337,Masala,12.910110301321483,77.5507309731067,Indian Restaurant
143,Ramagondanahalli,12.9121916,77.5476337,Royal Mart,12.910966012348096,77.54924910601716,Department Store
144,Ramagondanahalli,12.9121916,77.5476337,Dorekere,12.914244743266355,77.54850110881678,Lake
145,Ramagondanahalli,12.9121916,77.5476337,Shanti Sagar,12.908890290181773,77.5488037865357,Indian Restaurant
146,Ramagondanahalli,12.9121916,77.5476337,Janatha Hotel,12.910298954490681,77.55082871120368,Indian Restaurant
147,Ramagondanahalli,12.9121916,77.5476337,new biriyani mane,12.910917587342801,77.55115241803642,Indian Restaurant
148,Ramagondanahalli,12.9121916,77.5476337,Goli Vadapav,12.908603599736473,77.5487508808359,Fast Food Restaurant
149,Ramagondanahalli,12.9121916,77.5476337,fitness cube,12.910351753234863,77.551025390625,Gym
150,Electronic City,12.9589475,77.65559301497998,Hyderabad Biryaani House,12.959209291766507,77.65649019333365,Indian Restaurant
151,Electronic City,12.9589475,77.65559301497998,New Punjabi Hotel,12.95929598977082,77.65554308650674,Indian Restaurant
152,Electronic City,12.9589475,77.65559301497998,Domino's Pizza,12.96,77.656,Pizza Place
153,Electronic City,12.9589475,77.65559301497998,cafe coffee day,12.959424714856727,77.65300605699187,Café
154,Electronic City,12.9589475,77.65559301497998,McDonald's,12.958693284292194,77.65674233436584,Fast Food Restaurant
155,Electronic City,12.9589475,77.65559301497998,Shri Udupi Park,12.959302945535505,77.65607553064976,Restaurant
156,Electronic City,12.9589475,77.65559301497998,Cafe Coffee Day,12.956340386410343,77.6581733263563,Café
157,Electronic City,12.9589475,77.65559301497998,Cafe Coffee Day,12.959231825701037,77.65474834021752,Coffee Shop
158,Electronic City,12.9589475,77.65559301497998,Pizza Hut,12.959216718990403,77.6541413564541,Pizza Place
159,Electronic City,12.9589475,77.65559301497998,McDonald's,12.95928679303521,77.65686315831108,Fast Food Restaurant
160,Electronic City,12.9589475,77.65559301497998,KFC,12.959232583061564,77.65692743951291,Fast Food Restaurant
161,Electronic City,12.9589475,77.65559301497998,Spencers,12.959275245666127,77.65701412,Department Store
162,Electronic City,12.9589475,77.65559301497998,HAL bus stand,12.959262529951918,77.65553357886255,Bus Station
163,Electronic City,12.9589475,77.65559301497998,Baskin Robins,12.959699575867319,77.65479533326885,Ice Cream Shop
164,Electronic City,12.9589475,77.65559301497998,Hotel Sahaja,12.959561097075836,77.65606641769409,Indian Restaurant
165,Electronic City,12.9589475,77.65559301497998,Delhi6,12.95763654,77.65383471,Chinese Restaurant
166,Electronic City,12.9589475,77.65559301497998,Odiya Dine,12.956350465441998,77.65590269983603,Indian Restaurant
167,Electronic City,12.9589475,77.65559301497998,J's Pastas & Pizzas,12.955875842987169,77.65354813459233,Pizza Place
168,Electronic City,12.9589475,77.65559301497998,World of Titan,12.959425827817899,77.65145846643411,Watch Shop
169,Electronic City,12.9589475,77.65559301497998,Amoeba Bowling Alley,12.959256729831974,77.65991821005319,Bowling Alley
170,Bisuvanahalli,19.2068473,72.8671534,Avenue Restaurant,19.20725976589983,72.86607335804696,Indian Restaurant
171,Bisuvanahalli,19.2068473,72.8671534,Domino's Pizza,19.207,72.866,Pizza Place
172,Bisuvanahalli,19.2068473,72.8671534,Matsyagandha Restaurant,19.209657464072524,72.86428928375244,Seafood Restaurant
173,Bisuvanahalli,19.2068473,72.8671534,Ambience the rest. And bar,19.206412952878942,72.8652617831306,Restaurant
174,Bisuvanahalli,19.2068473,72.8671534,McDonald's,19.208575172590233,72.86750866739156,Fast Food Restaurant
175,Bisuvanahalli,19.2068473,72.8671534,Thakur Complex,19.20686115612677,72.86519050598145,Neighborhood
176,Bisuvanahalli,19.2068473,72.8671534,Anna's Dosa,19.208957,72.8631112,Food Truck
177,Hebbal,12.9116225,77.63886219999998,House of Commons,12.911993951538978,77.63893839495603,Pub
178,Hebbal,12.9116225,77.63886219999998,Here & Now,12.913617873412562,77.63824265968887,Burger Joint
179,Hebbal,12.9116225,77.63886219999998,Cream Stone,12.912336259572271,77.63858101632954,Ice Cream Shop
180,Hebbal,12.9116225,77.63886219999998,Once Upon A Flame,12.91192776488194,77.63805414341695,Steakhouse
181,Hebbal,12.9116225,77.63886219999998,Shree Sweets,12.914205804805183,77.6409858894298,Snack Place
182,Hebbal,12.9116225,77.63886219999998,Calvins,12.912182357202179,77.6376609572448,Café
183,Hebbal,12.9116225,77.63886219999998,The Punjabi Rasoi,12.911959008177734,77.63842481946776,Punjabi Restaurant
184,Hebbal,12.9116225,77.63886219999998,Anjappar,12.914337555485753,77.63715891761294,Chettinad Restaurant
185,Hebbal,12.9116225,77.63886219999998,Baskin-Robbins,12.911906479727753,77.63827861415575,Ice Cream Shop
186,Hebbal,12.9116225,77.63886219999998,49ParanthaGali,12.912309452984541,77.63856948157061,North Indian Restaurant
187,Hebbal,12.9116225,77.63886219999998,Grapevine,12.909401610261101,77.63816757885431,Mediterranean Restaurant
188,Hebbal,12.9116225,77.63886219999998,Cafe Coffee Day,12.912312,77.641245,Café
189,Hebbal,12.9116225,77.63886219999998,Café Coffee Day,12.909285707816219,77.63967275619507,Coffee Shop
190,Hebbal,12.9116225,77.63886219999998,Drops Total Spirits,12.914411131760744,77.63827698264879,Liquor Store
191,Hebbal,12.9116225,77.63886219999998,Parika,12.912007744765054,77.63934474352479,Seafood Restaurant
192,Hebbal,12.9116225,77.63886219999998,Subway,12.911947644973107,77.63810077808505,Sandwich Place
193,Hebbal,12.9116225,77.63886219999998,Gold Bean,12.912273478307078,77.64085435241307,Café
194,Hebbal,12.9116225,77.63886219999998,MK Ahmed Super Market,12.912461639989539,77.63671324617263,Department Store
195,Hebbal,12.9116225,77.63886219999998,Adyar Ananda Bhavan,12.913715219870335,77.63747899676768,Indian Restaurant
196,Hebbal,12.9116225,77.63886219999998,The Moghul's,12.91228533379858,77.64207017111667,Indian Restaurant
197,Hebbal,12.9116225,77.63886219999998,Jarokha,12.912202292767502,77.6379863475401,Indian Restaurant
198,Hebbal,12.9116225,77.63886219999998,SAFA Fruits N Vegetables,12.913395287317098,77.63703918077869,Farmers Market
199,Hebbal,12.9116225,77.63886219999998,Bangalore Agarwal Bhavan,12.913228596735953,77.63526425747744,Snack Place
200,Hebbal,12.9116225,77.63886219999998,The Deck,12.911831694909655,77.63884933401974,Lounge
201,Hebbal,12.9116225,77.63886219999998,Pizza Hut,12.912318394247272,77.63784153282775,Pizza Place
202,Hebbal,12.9116225,77.63886219999998,Mast Kalander,12.914779604874248,77.63812499435045,Indian Restaurant
203,Hebbal,12.9116225,77.63886219999998,HSR Club,12.909721121545761,77.643044269923,General Entertainment
